Name,Link,Likes,Downloads,Dataset Tasks,Modality,Last Modified,Date Last Accessed
fka/awesome-chatgpt-prompts,https://huggingface.co/datasets/fka/awesome-chatgpt-prompts,7650,11835,question-answering,text,2025-01-06,2025-03-29
HuggingFaceFW/fineweb,https://huggingface.co/datasets/HuggingFaceFW/fineweb,2074,226698,text-generation,"tabular, text",2025-01-31,2025-03-29
Open-Orca/OpenOrca,https://huggingface.co/datasets/Open-Orca/OpenOrca,1383,10687,"text-classification, token-classification, table-question-answering, question-answering, zero-shot-classification, summarization, feature-extraction, text-generation, text2text-generation",text,2025-02-19,2025-03-29
OpenAssistant/oasst1,https://huggingface.co/datasets/OpenAssistant/oasst1,1368,9163,Unknown,"tabular, text",2023-05-02,2025-03-29
Anthropic/hh-rlhf,https://huggingface.co/datasets/Anthropic/hh-rlhf,1304,13391,Unknown,text,2023-05-26,2025-03-29
gsdf/EasyNegative,https://huggingface.co/datasets/gsdf/EasyNegative,1140,57443,Unknown,image,2023-02-12,2025-03-29
togethercomputer/RedPajama-Data-1T,https://huggingface.co/datasets/togethercomputer/RedPajama-Data-1T,1078,2306,text-generation,text,2024-06-17,2025-03-29
Nerfgun3/bad_prompt,https://huggingface.co/datasets/Nerfgun3/bad_prompt,926,5643,Unknown,image,2022-11-19,2025-03-29
allenai/dolma,https://huggingface.co/datasets/allenai/dolma,890,1114,text-generation,Unknown,2024-04-17,2025-03-29
tiiuae/falcon-refinedweb,https://huggingface.co/datasets/tiiuae/falcon-refinedweb,842,40904,text-generation,text,2023-06-20,2025-03-29
databricks/databricks-dolly-15k,https://huggingface.co/datasets/databricks/databricks-dolly-15k,800,13595,"question-answering, summarization",text,2023-06-30,2025-03-29
bigcode/the-stack,https://huggingface.co/datasets/bigcode/the-stack,786,12835,text-generation,"tabular, text",2023-04-13,2025-03-29
anon8231489123/ShareGPT_Vicuna_unfiltered,https://huggingface.co/datasets/anon8231489123/ShareGPT_Vicuna_unfiltered,782,33300,Unknown,Unknown,2023-04-12,2025-03-29
wikimedia/wikipedia,https://huggingface.co/datasets/wikimedia/wikipedia,769,81965,"text-generation, fill-mask",text,2024-01-09,2025-03-29
tatsu-lab/alpaca,https://huggingface.co/datasets/tatsu-lab/alpaca,743,40489,text-generation,text,2023-05-22,2025-03-29
QingyiSi/Alpaca-CoT,https://huggingface.co/datasets/QingyiSi/Alpaca-CoT,726,7826,Unknown,Unknown,2023-09-14,2025-03-29
teknium/OpenHermes-2.5,https://huggingface.co/datasets/teknium/OpenHermes-2.5,722,1072,Unknown,text,2024-04-15,2025-03-29
open-thoughts/OpenThoughts-114k,https://huggingface.co/datasets/open-thoughts/OpenThoughts-114k,673,31457,Unknown,text,2025-02-20,2025-03-29
yahma/alpaca-cleaned,https://huggingface.co/datasets/yahma/alpaca-cleaned,668,23661,text-generation,text,2023-04-10,2025-03-29
openai/gsm8k,https://huggingface.co/datasets/openai/gsm8k,664,334027,text2text-generation,text,2024-01-04,2025-03-29
HuggingFaceFW/fineweb-edu,https://huggingface.co/datasets/HuggingFaceFW/fineweb-edu,655,354312,text-generation,"tabular, text",2025-01-31,2025-03-29
lmsys/lmsys-chat-1m,https://huggingface.co/datasets/lmsys/lmsys-chat-1m,648,3890,Unknown,text,2024-07-27,2025-03-29
roneneldan/TinyStories,https://huggingface.co/datasets/roneneldan/TinyStories,636,31385,text-generation,text,2024-08-12,2025-03-29
m-a-p/COIG-CQIA,https://huggingface.co/datasets/m-a-p/COIG-CQIA,616,4484,"question-answering, text-classification, text-generation, text2text-generation",text,2024-04-18,2025-03-29
BAAI/Infinity-Instruct,https://huggingface.co/datasets/BAAI/Infinity-Instruct,607,4969,text-generation,"tabular, text",2025-02-25,2025-03-29
Congliu/Chinese-DeepSeek-R1-Distill-data-110k,https://huggingface.co/datasets/Congliu/Chinese-DeepSeek-R1-Distill-data-110k,602,6133,"text-generation, text2text-generation, question-answering","tabular, text",2025-02-21,2025-03-29
HuggingFaceTB/cosmopedia,https://huggingface.co/datasets/HuggingFaceTB/cosmopedia,598,39959,Unknown,text,2024-08-12,2025-03-29
legacy-datasets/wikipedia,https://huggingface.co/datasets/legacy-datasets/wikipedia,587,36950,"text-generation, fill-mask",Unknown,2024-03-11,2025-03-29
FreedomIntelligence/medical-o1-reasoning-SFT,https://huggingface.co/datasets/FreedomIntelligence/medical-o1-reasoning-SFT,575,25483,"question-answering, text-generation",text,2025-02-22,2025-03-29
proj-persona/PersonaHub,https://huggingface.co/datasets/proj-persona/PersonaHub,549,11256,"text-generation, text-classification, token-classification, fill-mask, table-question-answering, text2text-generation",text,2025-03-04,2025-03-29
open-r1/OpenR1-Math-220k,https://huggingface.co/datasets/open-r1/OpenR1-Math-220k,530,49729,Unknown,text,2025-02-18,2025-03-29
liwu/MNBVC,https://huggingface.co/datasets/liwu/MNBVC,529,11584,"text-generation, fill-mask",Unknown,2024-08-23,2025-03-29
HuggingFaceH4/ultrachat_200k,https://huggingface.co/datasets/HuggingFaceH4/ultrachat_200k,524,19014,text-generation,text,2024-10-16,2025-03-29
JosephusCheung/GuanacoDataset,https://huggingface.co/datasets/JosephusCheung/GuanacoDataset,514,46,"text-generation, question-answering",text,2024-04-15,2025-03-29
gretelai/synthetic_text_to_sql,https://huggingface.co/datasets/gretelai/synthetic_text_to_sql,512,6803,"question-answering, table-question-answering, text-generation",text,2024-05-10,2025-03-29
uonlp/CulturaX,https://huggingface.co/datasets/uonlp/CulturaX,500,24540,"text-generation, fill-mask",text,2024-12-16,2025-03-29
liuhaotian/LLaVA-Instruct-150K,https://huggingface.co/datasets/liuhaotian/LLaVA-Instruct-150K,497,3044,"visual-question-answering, question-answering",Unknown,2024-01-03,2025-03-29
poloclub/diffusiondb,https://huggingface.co/datasets/poloclub/diffusiondb,493,32453,"text-to-image, image-to-text",Unknown,2024-01-22,2025-03-29
ILSVRC/imagenet-1k,https://huggingface.co/datasets/ILSVRC/imagenet-1k,484,36917,image-classification,Unknown,2024-07-16,2025-03-29
HuggingFaceH4/no_robots,https://huggingface.co/datasets/HuggingFaceH4/no_robots,474,2582,text-generation,text,2024-04-18,2025-03-29
openai/MMMLU,https://huggingface.co/datasets/openai/MMMLU,473,9978,question-answering,text,2024-10-16,2025-03-29
Gustavosta/Stable-Diffusion-Prompts,https://huggingface.co/datasets/Gustavosta/Stable-Diffusion-Prompts,471,7089,Unknown,text,2022-09-18,2025-03-29
facebook/natural_reasoning,https://huggingface.co/datasets/facebook/natural_reasoning,466,13295,text-generation,text,2025-02-21,2025-03-29
