Name,Link,Likes,Downloads,Dataset Tasks,Modality,Last Modified,Date Last Accessed,,,
open-r1/OpenR1-Math-220k,https://huggingface.co/datasets/open-r1/OpenR1-Math-220k,247,2426,Unknown,text,12/02/2025 00:00:00,14/02/2025 00:00:00,,Dataset Tasks,Count
open-thoughts/OpenThoughts-114k,https://huggingface.co/datasets/open-thoughts/OpenThoughts-114k,461,52256,Unknown,text,13/02/2025 00:00:00,14/02/2025 00:00:00,,fill-mask,5
saiyan-world/Goku-MovieGenBench,https://huggingface.co/datasets/saiyan-world/Goku-MovieGenBench,129,18996,text-to-video,video,11/02/2025 00:00:00,14/02/2025 00:00:00,,image-classification,1
fka/awesome-chatgpt-prompts,https://huggingface.co/datasets/fka/awesome-chatgpt-prompts,7471,10833,question-answering,text,06/01/2025 00:00:00,14/02/2025 00:00:00,,image-feature-extraction,1
simplescaling/s1K,https://huggingface.co/datasets/simplescaling/s1K,165,3061,Unknown,text,11/02/2025 00:00:00,14/02/2025 00:00:00,,image-segmentation,1
Anthropic/EconomicIndex,https://huggingface.co/datasets/Anthropic/EconomicIndex,110,4165,Unknown,text,10/02/2025 00:00:00,14/02/2025 00:00:00,,image-to-text,1
AI-MO/NuminaMath-1.5,https://huggingface.co/datasets/AI-MO/NuminaMath-1.5,81,452,text-generation,text,10/02/2025 00:00:00,14/02/2025 00:00:00,,other,1
FreedomIntelligence/medical-o1-reasoning-SFT,https://huggingface.co/datasets/FreedomIntelligence/medical-o1-reasoning-SFT,197,7145,question-answering,text,13/01/2025 00:00:00,14/02/2025 00:00:00,,question-answering,14
FreedomIntelligence/medical-o1-reasoning-SFT,https://huggingface.co/datasets/FreedomIntelligence/medical-o1-reasoning-SFT,197,7145,text-generation,text,13/01/2025 00:00:00,14/02/2025 00:00:00,,summarization,5
GAIR/LIMO,https://huggingface.co/datasets/GAIR/LIMO,89,1930,Unknown,text,10/02/2025 00:00:00,14/02/2025 00:00:00,,table-question-answering,3
HuggingFaceFW/fineweb,https://huggingface.co/datasets/HuggingFaceFW/fineweb,1933,469669,text-generation,"tabular, text",31/01/2025 00:00:00,14/02/2025 00:00:00,,text2text-generation,8
ServiceNow-AI/R1-Distill-SFT,https://huggingface.co/datasets/ServiceNow-AI/R1-Distill-SFT,233,5243,Unknown,text,08/02/2025 00:00:00,14/02/2025 00:00:00,,text-classification,4
open-r1/OpenR1-Math-Raw,https://huggingface.co/datasets/open-r1/OpenR1-Math-Raw,51,0,Unknown,"tabular, text",12/02/2025 00:00:00,14/02/2025 00:00:00,,text-generation,34
cognitivecomputations/dolphin-r1,https://huggingface.co/datasets/cognitivecomputations/dolphin-r1,240,3844,Unknown,"tabular, text",30/01/2025 00:00:00,14/02/2025 00:00:00,,text-retrieval,1
agentica-org/DeepScaleR-Preview-Dataset,https://huggingface.co/datasets/agentica-org/DeepScaleR-Preview-Dataset,42,218,Unknown,text,10/02/2025 00:00:00,14/02/2025 00:00:00,,text-to-image,2
cais/hle,https://huggingface.co/datasets/cais/hle,220,4703,Unknown,"image, text",11/02/2025 00:00:00,14/02/2025 00:00:00,,text-to-video,3
bespokelabs/Bespoke-Stratos-17k,https://huggingface.co/datasets/bespokelabs/Bespoke-Stratos-17k,258,66134,Unknown,text,31/01/2025 00:00:00,14/02/2025 00:00:00,,token-classification,1
openai/gsm8k,https://huggingface.co/datasets/openai/gsm8k,571,270095,text2text-generation,text,04/01/2024 00:00:00,14/02/2025 00:00:00,,translation,1
OpenAssistant/oasst1,https://huggingface.co/datasets/OpenAssistant/oasst1,1324,5569,Unknown,"tabular, text",02/05/2023 00:00:00,14/02/2025 00:00:00,,video-classification,2
PleIAs/common_corpus,https://huggingface.co/datasets/PleIAs/common_corpus,227,14264,Unknown,"tabular, text",11/02/2025 00:00:00,14/02/2025 00:00:00,,zero-shot-classification,1
CausalLM/Retrieval-SFT-Chat,https://huggingface.co/datasets/CausalLM/Retrieval-SFT-Chat,28,8,question-answering,text,11/02/2025 00:00:00,14/02/2025 00:00:00,,Grand Total,89
CausalLM/Retrieval-SFT-Chat,https://huggingface.co/datasets/CausalLM/Retrieval-SFT-Chat,28,8,text-generation,text,11/02/2025 00:00:00,14/02/2025 00:00:00,,,
AI-MO/NuminaMath-CoT,https://huggingface.co/datasets/AI-MO/NuminaMath-CoT,383,10766,text-generation,text,25/11/2024 00:00:00,14/02/2025 00:00:00,,,
simplescaling/s1K-1.1,https://huggingface.co/datasets/simplescaling/s1K-1.1,24,323,Unknown,text,11/02/2025 00:00:00,14/02/2025 00:00:00,,,
Magpie-Align/Magpie-Reasoning-V2-250K-CoT-Deepseek-R1-Llama-70B,https://huggingface.co/datasets/Magpie-Align/Magpie-Reasoning-V2-250K-CoT-Deepseek-R1-Llama-70B,69,3600,Unknown,text,27/01/2025 00:00:00,14/02/2025 00:00:00,,,
open-r1/OpenThoughts-114k-math,https://huggingface.co/datasets/open-r1/OpenThoughts-114k-math,59,2005,Unknown,text,30/01/2025 00:00:00,14/02/2025 00:00:00,,,
moondream/megalith-mdqa,https://huggingface.co/datasets/moondream/megalith-mdqa,15,0,Unknown,"image, text",12/02/2025 00:00:00,14/02/2025 00:00:00,,,
allenai/tulu-3-sft-olmo-2-mixture,https://huggingface.co/datasets/allenai/tulu-3-sft-olmo-2-mixture,24,542,other,text,02/12/2024 00:00:00,14/02/2025 00:00:00,,,
sequelbox/Raiden-DeepSeek-R1,https://huggingface.co/datasets/sequelbox/Raiden-DeepSeek-R1,14,60,text-generation,text,11/02/2025 00:00:00,14/02/2025 00:00:00,,,
HuggingFaceFW/fineweb-2,https://huggingface.co/datasets/HuggingFaceFW/fineweb-2,418,72149,text-generation,"tabular, text",08/01/2025 00:00:00,14/02/2025 00:00:00,,,
leonardPKU/clevr_cogen_a_train,https://huggingface.co/datasets/leonardPKU/clevr_cogen_a_train,22,5683,Unknown,"image, text",02/02/2025 00:00:00,14/02/2025 00:00:00,,,
qgyd2021/chinese_porn_novel,https://huggingface.co/datasets/qgyd2021/chinese_porn_novel,38,481,text-generation,text,13/11/2024 00:00:00,14/02/2025 00:00:00,,,
madrylab/platinum-bench,https://huggingface.co/datasets/madrylab/platinum-bench,18,386,question-answering,"tabular, text",13/02/2025 00:00:00,14/02/2025 00:00:00,,,
wanglab/chest-agent-bench,https://huggingface.co/datasets/wanglab/chest-agent-bench,13,220,Unknown,Unknown,06/02/2025 00:00:00,14/02/2025 00:00:00,,,
gaia-benchmark/GAIA,https://huggingface.co/datasets/gaia-benchmark/GAIA,203,5440,Unknown,Unknown,13/02/2025 00:00:00,14/02/2025 00:00:00,,,
HuggingFaceFW/fineweb-edu,https://huggingface.co/datasets/HuggingFaceFW/fineweb-edu,620,477686,text-generation,"tabular, text",31/01/2025 00:00:00,14/02/2025 00:00:00,,,
argilla/FinePersonas-v0.1,https://huggingface.co/datasets/argilla/FinePersonas-v0.1,396,5145,text-generation,text,11/12/2024 00:00:00,14/02/2025 00:00:00,,,
HuggingFaceH4/MATH-500,https://huggingface.co/datasets/HuggingFaceH4/MATH-500,86,21924,text-generation,text,15/11/2024 00:00:00,14/02/2025 00:00:00,,,
HuggingFaceTB/finemath,https://huggingface.co/datasets/HuggingFaceTB/finemath,282,17909,Unknown,"tabular, text",06/02/2025 00:00:00,14/02/2025 00:00:00,,,
PrimeIntellect/verifiable-coding-problems,https://huggingface.co/datasets/PrimeIntellect/verifiable-coding-problems,11,299,Unknown,text,06/02/2025 00:00:00,14/02/2025 00:00:00,,,
yahma/alpaca-cleaned,https://huggingface.co/datasets/yahma/alpaca-cleaned,634,17335,text-generation,text,10/04/2023 00:00:00,14/02/2025 00:00:00,,,
rubend18/ChatGPT-Jailbreak-Prompts,https://huggingface.co/datasets/rubend18/ChatGPT-Jailbreak-Prompts,182,954,question-answering,"tabular, text",24/08/2023 00:00:00,14/02/2025 00:00:00,,,
rubend18/ChatGPT-Jailbreak-Prompts,https://huggingface.co/datasets/rubend18/ChatGPT-Jailbreak-Prompts,182,954,text-generation,"tabular, text",24/08/2023 00:00:00,14/02/2025 00:00:00,,,
rubend18/ChatGPT-Jailbreak-Prompts,https://huggingface.co/datasets/rubend18/ChatGPT-Jailbreak-Prompts,182,954,fill-mask,"tabular, text",24/08/2023 00:00:00,14/02/2025 00:00:00,,,
rubend18/ChatGPT-Jailbreak-Prompts,https://huggingface.co/datasets/rubend18/ChatGPT-Jailbreak-Prompts,182,954,zero-shot-classification,"tabular, text",24/08/2023 00:00:00,14/02/2025 00:00:00,,,
rubend18/ChatGPT-Jailbreak-Prompts,https://huggingface.co/datasets/rubend18/ChatGPT-Jailbreak-Prompts,182,954,table-question-answering,"tabular, text",24/08/2023 00:00:00,14/02/2025 00:00:00,,,
gretelai/synthetic_text_to_sql,https://huggingface.co/datasets/gretelai/synthetic_text_to_sql,473,2503,question-answering,text,10/05/2024 00:00:00,14/02/2025 00:00:00,,,
gretelai/synthetic_text_to_sql,https://huggingface.co/datasets/gretelai/synthetic_text_to_sql,473,2503,table-question-answering,text,10/05/2024 00:00:00,14/02/2025 00:00:00,,,
gretelai/synthetic_text_to_sql,https://huggingface.co/datasets/gretelai/synthetic_text_to_sql,473,2503,text-generation,text,10/05/2024 00:00:00,14/02/2025 00:00:00,,,
AI-MO/NuminaMath-TIR,https://huggingface.co/datasets/AI-MO/NuminaMath-TIR,94,16663,text-generation,text,25/11/2024 00:00:00,14/02/2025 00:00:00,,,
Rapidata/text-2-video-human-preferences-runway-alpha,https://huggingface.co/datasets/Rapidata/text-2-video-human-preferences-runway-alpha,10,13,video-classification,"image, tabular, text",11/02/2025 00:00:00,14/02/2025 00:00:00,,,
Rapidata/text-2-video-human-preferences-runway-alpha,https://huggingface.co/datasets/Rapidata/text-2-video-human-preferences-runway-alpha,10,13,text-to-video,"image, tabular, text",11/02/2025 00:00:00,14/02/2025 00:00:00,,,
Rapidata/text-2-video-human-preferences-runway-alpha,https://huggingface.co/datasets/Rapidata/text-2-video-human-preferences-runway-alpha,10,13,text-classification,"image, tabular, text",11/02/2025 00:00:00,14/02/2025 00:00:00,,,
agents-course/certificates,https://huggingface.co/datasets/agents-course/certificates,10,1274,Unknown,image,13/02/2025 00:00:00,14/02/2025 00:00:00,,,
junnei/ko-limo,https://huggingface.co/datasets/junnei/ko-limo,10,4,Unknown,text,12/02/2025 00:00:00,14/02/2025 00:00:00,,,
wikimedia/wikipedia,https://huggingface.co/datasets/wikimedia/wikipedia,738,119486,text-generation,text,09/01/2024 00:00:00,14/02/2025 00:00:00,,,
wikimedia/wikipedia,https://huggingface.co/datasets/wikimedia/wikipedia,738,119486,fill-mask,text,09/01/2024 00:00:00,14/02/2025 00:00:00,,,
a686d380/h-corpus-2023,https://huggingface.co/datasets/a686d380/h-corpus-2023,124,620,Unknown,Unknown,06/10/2023 00:00:00,14/02/2025 00:00:00,,,
Metacreation/GigaMIDI,https://huggingface.co/datasets/Metacreation/GigaMIDI,10,188,Unknown,text,11/02/2025 00:00:00,14/02/2025 00:00:00,,,
EricLu/SCP-116K,https://huggingface.co/datasets/EricLu/SCP-116K,48,574,text-generation,text,07/02/2025 00:00:00,14/02/2025 00:00:00,,,
EricLu/SCP-116K,https://huggingface.co/datasets/EricLu/SCP-116K,48,574,question-answering,text,07/02/2025 00:00:00,14/02/2025 00:00:00,,,
MMInstruction/Clevr_CoGenT_TrainA_R1,https://huggingface.co/datasets/MMInstruction/Clevr_CoGenT_TrainA_R1,25,907,Unknown,"image, text",13/02/2025 00:00:00,14/02/2025 00:00:00,,,
llami-team/Korean-OpenThoughts-114k-Normalized,https://huggingface.co/datasets/llami-team/Korean-OpenThoughts-114k-Normalized,9,64,text-generation,text,10/02/2025 00:00:00,14/02/2025 00:00:00,,,
CSU-JPG/TextAtlas5M,https://huggingface.co/datasets/CSU-JPG/TextAtlas5M,9,2,text-to-image,"image, text",13/02/2025 00:00:00,14/02/2025 00:00:00,,,
O1-OPEN/OpenO1-SFT,https://huggingface.co/datasets/O1-OPEN/OpenO1-SFT,350,1712,question-answering,text,17/12/2024 00:00:00,14/02/2025 00:00:00,,,
lmms-lab/multimodal-open-r1-8k-verified,https://huggingface.co/datasets/lmms-lab/multimodal-open-r1-8k-verified,29,2353,Unknown,"image, text",27/01/2025 00:00:00,14/02/2025 00:00:00,,,
fibonacciai/Persian-llm-fibonacci-1-pro,https://huggingface.co/datasets/fibonacciai/Persian-llm-fibonacci-1-pro,9,55,Unknown,Unknown,28/01/2025 00:00:00,14/02/2025 00:00:00,,,
lightblue/reasoning-multilingual-R1-Llama-70B-train,https://huggingface.co/datasets/lightblue/reasoning-multilingual-R1-Llama-70B-train,24,586,Unknown,"tabular, text",31/01/2025 00:00:00,14/02/2025 00:00:00,,,
Rapidata/text-2-video-human-preferences-luma-ray2,https://huggingface.co/datasets/Rapidata/text-2-video-human-preferences-luma-ray2,8,42,video-classification,"image, tabular, text",11/02/2025 00:00:00,14/02/2025 00:00:00,,,
Rapidata/text-2-video-human-preferences-luma-ray2,https://huggingface.co/datasets/Rapidata/text-2-video-human-preferences-luma-ray2,8,42,text-to-video,"image, tabular, text",11/02/2025 00:00:00,14/02/2025 00:00:00,,,
Rapidata/text-2-video-human-preferences-luma-ray2,https://huggingface.co/datasets/Rapidata/text-2-video-human-preferences-luma-ray2,8,42,text-classification,"image, tabular, text",11/02/2025 00:00:00,14/02/2025 00:00:00,,,
PrimeIntellect/verifiable-math-problems,https://huggingface.co/datasets/PrimeIntellect/verifiable-math-problems,8,437,Unknown,text,06/02/2025 00:00:00,14/02/2025 00:00:00,,,
jan-hq/Maze-Reasoning,https://huggingface.co/datasets/jan-hq/Maze-Reasoning,8,78,Unknown,"image, text",06/02/2025 00:00:00,14/02/2025 00:00:00,,,
prithivMLmods/OpenWeb383K,https://huggingface.co/datasets/prithivMLmods/OpenWeb383K,9,111,text-generation,"tabular, text",06/02/2025 00:00:00,14/02/2025 00:00:00,,,
prithivMLmods/OpenWeb383K,https://huggingface.co/datasets/prithivMLmods/OpenWeb383K,9,111,summarization,"tabular, text",06/02/2025 00:00:00,14/02/2025 00:00:00,,,
prithivMLmods/OpenWeb383K,https://huggingface.co/datasets/prithivMLmods/OpenWeb383K,9,111,text2text-generation,"tabular, text",06/02/2025 00:00:00,14/02/2025 00:00:00,,,
yusufbaykaloglu/University_Mevzuat_QA_v2,https://huggingface.co/datasets/yusufbaykaloglu/University_Mevzuat_QA_v2,8,65,question-answering,text,06/02/2025 00:00:00,14/02/2025 00:00:00,,,
galileo-ai/agent-leaderboard,https://huggingface.co/datasets/galileo-ai/agent-leaderboard,8,23,Unknown,"tabular, text",11/02/2025 00:00:00,14/02/2025 00:00:00,,,
roneneldan/TinyStories,https://huggingface.co/datasets/roneneldan/TinyStories,613,18509,text-generation,text,12/08/2024 00:00:00,14/02/2025 00:00:00,,,
tyang816/MedChatZH,https://huggingface.co/datasets/tyang816/MedChatZH,24,334,question-answering,text,20/03/2024 00:00:00,14/02/2025 00:00:00,,,
swulling/gsm8k_chinese,https://huggingface.co/datasets/swulling/gsm8k_chinese,14,920,text2text-generation,text,28/11/2023 00:00:00,14/02/2025 00:00:00,,,
amaye15/NSFW,https://huggingface.co/datasets/amaye15/NSFW,48,605,Unknown,image,04/08/2024 00:00:00,14/02/2025 00:00:00,,,
LooksJuicy/Chinese-Roleplay-Novel,https://huggingface.co/datasets/LooksJuicy/Chinese-Roleplay-Novel,43,120,Unknown,text,11/09/2024 00:00:00,14/02/2025 00:00:00,,,
jackyhate/text-to-image-2M,https://huggingface.co/datasets/jackyhate/text-to-image-2M,75,11101,text-to-image,"image, text",22/09/2024 00:00:00,14/02/2025 00:00:00,,,
jackyhate/text-to-image-2M,https://huggingface.co/datasets/jackyhate/text-to-image-2M,75,11101,image-to-text,"image, text",22/09/2024 00:00:00,14/02/2025 00:00:00,,,
jackyhate/text-to-image-2M,https://huggingface.co/datasets/jackyhate/text-to-image-2M,75,11101,image-classification,"image, text",22/09/2024 00:00:00,14/02/2025 00:00:00,,,
